Year,Energy use (kg of oil equivalent per capita),GDP per capita (current US$),CO2 emissions NET,Merchandise trade (% of GDP),Population density (people per sq. km of land area),Population growth (annual %),Urban population growth (annual %),Crop production index (2014-2016 = 100),"Labor force participation rate, total (% of total population ages 15+) (national estimate)",Merchandise exports (current US$),Urban population
1960,5641.740755,3007.123445,2831936.092,6.625621204,..,..,..,..,59.4,19626000000,126462473
1961,5612.079503,3066.562869,2823483.657,6.413633943,20.05587971,1.657730037,2.200570878,36.9,59.3,20190000000,129276215
1962,5774.586315,3243.843078,2934333.4,6.40456123,20.36672286,1.537997358,2.076494302,37.2,58.8,20973000000,131988693
1963,5986.783954,3374.515171,3067229.147,6.427810836,20.66195289,1.439164762,1.970559363,38.71,58.7,22427000000,134615404
1964,6136.93823,3573.941185,3204785.651,6.706911636,20.9509595,1.389046055,1.913437108,37.23,58.7,25690000000,137215986
1965,6307.890202,3827.52711,3340648.001,6.707946753,21.21452654,1.250171646,1.767653287,40.77,58.9,26699000000,139663053
1966,6591.340558,4146.316646,3507456.164,7.009079755,21.4609519,1.154893191,1.665558704,40.08,59.2,29379000000,142008703
1967,6809.820484,4336.426587,3636501.561,6.926656609,21.69591307,1.088881207,1.592820422,42.46,59.6,30934000000,144288757
1968,7073.478949,4695.92339,3768469.557,7.364774536,21.91362338,0.998461044,1.495762638,43.8,59.6,34063000000,146463196
1969,7332.368547,5032.144743,3960950.387,7.416805569,22.12882249,0.977242812,1.467992726,44.38,60.1,37332000000,148629124
1970,7569.076595,5234.296666,4268875.711,7.980318698,22.3881314,1.165002667,1.531151622,42.19,60.4,43225000000,150922373
1971,7644.524802,5609.3826,4305164.343,7.888655192,22.67298907,1.264333692,1.279277894,48.34,60.2,43549000000,152865492
1972,7940.997832,6094.01799,4513380.27,8.448139722,22.91701241,1.070522752,1.084106289,47.93,60.4,49199000000,154531732
1973,8163.603792,6726.358956,4717375.48,10.13030948,23.13679719,0.954476729,0.968058589,51.42,60.8,70823000000,156034954
1974,7909.58648,7225.69136,4552081.788,13.58459479,23.34915755,0.913660196,0.927239982,46.97,61.3,99437000000,157488501
1975,7656.263579,7801.456664,4367668.358,12.74476172,23.58051569,0.985986067,0.999564503,53.38,61.2,1.09E+11,159070594
1976,8100.562222,8592.253537,4572052.27,13.30678996,23.80565042,0.950220049,0.963796081,53.26,61.6,1.17E+11,160611122
1977,8285.570898,9452.576519,4698805.792,13.62232002,24.0462891,1.005771996,1.019346153,57.74,62.3,1.23E+11,162256678
1978,8438.403077,10564.94822,4844055.662,14.1135032,24.30243172,1.05957308,1.071788951,58.52,63.2,1.46E+11,164005080
1979,8327.041705,11674.18187,4854055.571,15.55143562,24.57211299,1.103576565,1.117147538,64.95,63.7,1.86E+11,165847531
1980,7942.253018,12574.79151,4681809.247,16.88831477,24.80903945,0.959589923,1.021992478,58.56,63.8,2.26E+11,167551171
1981,7647.538054,13976.10539,4497568.166,15.96696145,25.05371789,0.981415437,1.187337971,67.35,63.9,2.39E+11,169552427
1982,7259.078899,14433.78773,4272645.387,14.09556644,25.29370147,0.953317566,1.158817769,67.98,64,2.16E+11,171528659
1983,7199.118533,15543.89372,4304504.283,13.08508607,25.52604226,0.914378513,1.119456627,49.84,64,2.06E+11,173459636
1984,7443.320017,17121.22548,4433795.369,14.125648,25.74801069,0.865817336,1.067786202,64.34,64.4,2.24E+11,175321738
1985,7456.262903,18236.82773,4451778.337,13.16618495,25.97718518,0.886129041,1.087690787,68.61,64.8,2.19E+11,177239105
1986,7376.096238,19071.22719,4454062.878,13.30788441,26.21836977,0.924164157,1.125320221,62.61,65.3,2.27E+11,179244877
1987,7622.173017,20038.9411,4645766.304,13.97600312,26.45376768,0.893829201,1.093244264,62.54,65.6,2.54E+11,181215212
1988,7849.75397,21417.01193,4849471.821,14.93324279,26.69506145,0.90799904,1.107017474,53.09,65.9,3.22E+11,183232441
1989,7890.287202,22857.15443,4911939.166,15.1860649,26.94836532,0.944405555,1.140364939,62.67,66.5,3.64E+11,185333919
1990,7671.773066,23888.60001,4779688.811,15.2701159,27.25451361,1.12965052,1.410256285,67.17,66.5,3.94E+11,187966119
1991,7631.467806,24342.2589,4777547.283,15.10349978,27.62114913,1.336260741,1.867384399,65.11,66.2,4.22E+11,191509147
1992,7677.401401,25418.99078,4865155.58,15.36864639,28.00689161,1.386885692,1.908632997,73.53,66.4,4.48E+11,195199459
1993,7709.496589,26387.29373,4978990.261,15.57486055,28.37865871,1.31868,1.831182276,62.86,66.3,4.65E+11,198806845
1994,7757.830822,27694.85342,5042473.365,16.49242593,28.72880764,1.226296089,1.73098223,78.65,66.66,5.13E+11,202278113
1995,7763.755106,28690.8757,5078563.979,17.743973,29.07295151,1.190787091,1.686466663,67.22,66.72,5.85E+11,205718394
1996,7844.468266,29967.71272,5197140.091,17.92488705,29.41316481,1.16341162,1.652782978,74.56,66.87,6.25E+11,209146726
1997,7828.581096,31459.13898,5312877.945,18.51579035,29.76942797,1.203960297,1.681975267,78.1,67.2,6.89E+11,212694273
1998,7803.697605,32853.67695,5352804.241,17.94685675,30.11848507,1.165714526,1.637627657,77.55,67.09,6.82E+11,216206090
1999,7923.223893,34515.39023,5454948.526,18.22453743,30.46634116,1.148340047,1.612956772,77.8,67.08,6.96E+11,219721677
2000,8056.86385,36329.95607,5644129.056,19.9124803,30.79730133,1.112768997,1.512011391,79.88,67.07,7.82E+11,223069137
2001,7827.886325,37133.62311,5545464.754,18.03338371,31.10362839,0.989741382,1.213380422,77.73,66.82,7.29E+11,225792302
2002,7843.344849,37997.75966,5590447.843,17.32375727,31.39354993,0.927797486,1.148418847,74.57,66.58,6.93E+11,228400290
2003,7794.23553,39490.27496,5623370.169,17.70026848,31.66453462,0.859481713,1.078360384,77.93,66.24,7.25E+11,230876596
2004,7881.578642,41724.63163,5701499.271,19.15787826,31.95894507,0.925483969,1.143885301,87.3,65.99,8.15E+11,233532722
2005,7846.499688,44123.40707,5732984.133,20.19900119,32.2548766,0.921713167,1.135884591,84.04,66.05,9.01E+11,236200507
2006,7697.652535,46302.00088,5640575.733,21.30958323,32.56739985,0.964253917,1.17796816,80.84,66.18,1.03E+12,238999326
2007,7758.165986,48050.22378,5732998.801,21.89133845,32.87861136,0.951055243,1.163067761,86.81,66.04,1.15E+12,241795278
2008,7488.081921,48570.04598,5561423.538,23.40529625,33.24368685,0.945865287,1.156185671,86.09,65.99,1.29E+12,244607104
2009,7056.783653,47194.94335,5222248.04,18.38186948,33.53639923,0.876651299,1.085290294,89.74,65.37,1.06E+12,247276259
2010,7161.426552,48650.64313,5353075.599,21.58074738,33.81578008,0.829616675,1.035344801,89.55,64.71,1.28E+12,249849720
2011,7029.954601,50065.9665,5224521.58,24.02947007,34.06244395,0.726786705,0.939505411,87,64.11,1.48E+12,252208133
2012,6872.027284,51784.41857,5033155.518,23.88478918,34.31324483,0.733599941,0.949565508,85.99,63.7,1.55E+12,254614421
2013,6905.598633,53291.12769,5117716.538,23.2061312,34.55181319,0.692860277,0.914510414,92.94,63.25,1.58E+12,256953576
2014,6960.683997,55123.84979,5168115.786,22.97961652,34.8061343,0.73336152,0.959430782,97.81,62.89,1.62E+12,259430732
2015,6803.996607,56762.72945,5069535.825,20.97038696,35.06332868,0.736217309,0.966674782,95.48,62.65,1.50E+12,261950744
2016,..,57866.74493,4949034.538,19.79750231,35.31834714,0.724676067,0.958268061,106.71,62.79,1.45E+12,264473000
2017,..,59907.75426,,20.30436241,35.54249482,0.632643995,0.87178526,100.53,62.85,1.55E+12,266788716
2018,..,62823.30944,,20.83568431,35.73009646,0.526435396,0.76743743,100.21,62.87,1.66E+12,268844029
2019,..,65120.39466,,19.6932356,35.89317567,0.455381286,0.701867775,93.69,63.1,1.64E+12,270737596
2020,..,63530.63348,,18.19459083,36.23984468,0.961201052,1.209500995,98.44,61.75,1.42E+12,274032053
2021,..,70248.629,,20.11408019,..,0.118380497,0.370891964,100.85,61.66,1.75E+12,275050303
2022,..,..,,..,..,..,..,..,62.24,2.06E+12,..
